id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4179755643546889,FxsO8eSHT,1215261540,福州身边事儿,#福州身边事#【福州市区有油菜花花海了！约18亩！就在温泉大饭店原址！】你们还记得五四路上的温泉大饭店吗？它是我省首家五星级酒店。两年前，酒店大楼被拆除后，现场变成了临时停车场，里面还堆放着大量建筑垃圾。昨日，从福州市园林局获悉，该地块将建临时绿地，主种油菜花，面积约18亩（1万平方米），下月开始播种。据市园林局绿化部门工作人员介绍，该地块内现有的棕榈科植物将保留，再增种一批内河整治施工中移植的大树。在场地中央，将播种油菜花花籽。这个方形的地块，会用碎石铺就临时园路，届时，市民将可以沿着园路游览。“我们计划12月10日左右播种，预计明年二三月份会有初花。”该工作人员说，花海将在明年二月免费开放。#福州印象#via@海峡都市报,,,海峡都市报,"福州身边事,福州印象",7,9,11,2017-11-30 12:07,边哥右手的iPhone客户端,"['http://ww3.sinaimg.cn/large/486f6b64gy1flzze35r05j20ku0yi459.jpg', 'http://ww3.sinaimg.cn/large/486f6b64gy1flzze2mg23j20ku0qr0yp.jpg', 'http://ww1.sinaimg.cn/large/486f6b64gy1flzze3qu6vj20ku0x5gru.jpg']",,
4179381297068142,Fxj4ltEKi,5725425403,遇见闽侯,为了彰显优越的生态，流洋村对村内公园、路面网线、内河驳岸、污水接驳等进行综合整治，突出村道绿化景观。该村组建了一支8名保洁人员的专职环卫队伍，基本确保村庄日常保洁与垃圾日产日清。闽侯甘蔗街道办把流洋村扮成美丽的家园·福建日报社数字报刊平台O闽侯甘蔗街道办把流洋村扮成美丽的家园·福建日报社数字报刊平台,,,,,0,0,0,2017-11-29 11:20,360安全浏览器,,,
4179156021767860,Fxdd07pTS,3968722727,hhhhhmmm_,#福州身边事#白湖亭内河整治，大型挖掘机夜里施工，周边民房似五六级地震摇晃，没有安全感，感觉房子要倒了，望有关部门管一下内河整治也不能不顾周边居民吧！！！！@福建日报@福州头条@福州身边事儿@我爱小福州@福州那点事儿@新浪福建Lcandyccccc22的秒拍视频,,,"福建日报,福州头条,福州身边事儿,我爱小福州,福州那点事儿,新浪福建",福州身边事,0,1,1,2017-11-28 20:25,小米手机5,,"http://f.us.sinaimg.cn/004wKVx4lx07garCcgBG0104010014B00k01.mp4?label=mp4_ld&template=28&ori=0&ps=1BVp4ysnknHVZu&Expires=1607671359&ssig=1Cxioz8Mxb&KID=unistore,video",
4177684072042753,FwAUT8zpD,1678943394,福州头条,#福州生活#【福州全面实施水污染防治工作】@福州发布：昨日上午，市环保局第四次联合建设、城管、市场监管、房管等部门，分组对鼓楼、台江、仓山、晋安开展城区黑臭水体沿岸重点污染源排查整治联合执法行动。截至9月30日，我市已完成第一阶段107条内河沿岸3224个污染源的排查。发现的1986个存在“未规范设置隔油池或排污口不规范及超标排放”等问题的污染源（不含居民小区），现已全部完成整治，同时查处了193家企事业单位，处罚金额达107万元。截至11月20日，市环保局已完成全市43条内河黑臭水体重点污染源排查工作，目前正在制定重点污染源整治任务清单和责任清单。,,,福州发布,福州生活,0,0,3,2017-11-24 18:56,微博 weibo.com,['http://ww2.sinaimg.cn/large/6412a4a2gy1fltbs2gm58j20j60cdasm.jpg'],,
4177610084518181,FwyZyiXnT,2639029341,福州发布,#福州城建#【环保建设城管等部门联合巡查内河仓山拟先整治321个重点污染源】昨日上午，环保、建设、城管、市场监管、房管等部门组成的联合执法组，检查了仓山区浦上河、飞凤河、台屿河等内河沿线的排污情况。仓山区已拟定了餐饮、工业企业、医疗、洗车四类重点污染源整治方案，下阶段拟整治321个，其中餐饮业273家，工业企业5家、洗车43家。O仓山拟先整治321个重点污染源,,,,福州城建,0,1,1,2017-11-24 14:02,微博 weibo.com,['http://ww3.sinaimg.cn/large/9d4c645dgy1flszvrjyz5j20hs0btq4o.jpg'],,
4172877819395857,FuzSRDqi5,2308473255,燕子心情1977,这两天家后面的内河在排污处理，希望整治内河可以一直保持下去。@福州城市建设,,福州·仓山万达,福州城市建设,,0,0,0,2017-11-11 12:37,iPhone客户端,['http://ww2.sinaimg.cn/large/899881a7gy1fle1h97ciyj23402c0u0x.jpg'],,
4175560274419239,FvHFpixE3,2758878065,卖水果的河粉,光明港内河整治施工，挖土机等机器日夜不停的工作，晚上夜深人静，声音显得特别大，附近居民苦不堪言。请问，市政工程真的需要这样加班加点以及扰民吗？@福州电视台新闻110@福州日报@福州身边事儿,,,"福州电视台新闻110,福州日报,福州身边事儿",,1,2,0,2017-11-18 22:16,够快才畅快vivo X6,,,
4172460653875376,Fup21gga4,1698857957,海峡都市报,#福州新闻#【厦坊溪打造1.5公里双层步道】福州水系综合治理快速推进，厦坊溪也不例外，今年6月已完成清淤，眼下正在进行驳岸、截污、调蓄池等施工。在众多内河中，厦坊溪的整治有一大特色，就是将建成1.5公里的双层步道，其中下层临水而建，上层则为常规的沿河绿道，计划在今年底完成。O厦坊溪打造1.5公里双层步道,,,,福州新闻,0,0,4,2017-11-10 09:00,微博 weibo.com,['http://ww4.sinaimg.cn/large/654283e5gy1flbycs39vxj20hs0cjac0.jpg'],,
4174366965692629,FvcCInSUB,5217596334,台江新闻网,#台江新闻#【台江内河沿线拟再装180个隔油池】昨日上午，环保、建设、城管、市场监管、房管等部门组成的联合执法组，检查了达道河、打铁港河沿线的排污情况，发现两个排水口的污水直排内河，沿线许多餐饮店已经完成隔油池整治。台江区计划在沿河小餐饮店再安装大约180个隔油池。[via@福州晚报]O网页链接,,,福州晚报,台江新闻,0,0,0,2017-11-15 15:15,微博 weibo.com,['http://ww3.sinaimg.cn/large/005H6v9Agy1flijivirolj30dw099tdj.jpg'],,
4169942310490617,Ftlwb23Db,2639029341,福州发布,#福州城建#【琴亭河年底将打造成样板河沿岸配建三米宽单侧悬挑步道】作为晋安东区水系中正在接受整治的一条内河，施工队伍今年8月开始进入琴亭河施工，除了到年底要实现的除“黑臭”目标外，还计划全方位打造晋安东区水系样板河，营造琴亭河畔新风景。目前，施工单位正在做清淤，驳岸、截污管和补水管等的施工。O琴亭河年底将打造成样板河,,,,福州城建,2,0,0,2017-11-03 10:13,微博 weibo.com,['http://ww4.sinaimg.cn/large/9d4c645dgy1fl4nm851d3j20b407kq4c.jpg'],,
