id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4405572029536136,I2kX8E0ME,2377499544,中国石狮网,【中央第二生态环保督察组向福建省交办第二十八批群众信访举报件129件】　　8月13日，中央第二生态环境保护督察组向我省交办第二十八批群众信访举报件129件。其中来电举报53件，来信举报76件。东南网8月14日讯（福建日报记者潘园园）8月13日，中央第二生态环境保护督察组向我省交办第二十八批群众信访举报件129件。其中来电举报53件，来信举报76件。从区域分布上看，福州24件、厦门18件、漳州17件、泉州24件、三明11件、莆田14件、南平4件、龙岩9件、宁德8件、平潭0件。　　截至当日，我省已累计收到并移交地方办理的信访件共3977件（含重复627件），已办结2548件（含阶段性办结，下同）。其中，福州962件，已办结680件；厦门436件，已办结258件；漳州538件，已办结356件；泉州763件，已办结430件；三明182件，已办结117件；莆田316件，已办结187件；南平211件，已办结138件；龙岩239件，已办结157件；宁德286件，已办结190件；平潭44件，已办结35件。,,,,,0,0,0,2019-08-15 15:21,360安全浏览器,,,
4405116872313292,I29719HNa,2635759011,福州生态环境,【身边的榜样|福州市生态环保铁军炼成记（一）】7月中旬，中央第二生态环保督察组入驻福建，一个月来，福州市生态环境局全员上岗、取消休假，全力以赴地满足人民群众对美好生态环境的向往。在这场生态环保“大考”即将收官之际，让我们走近他们中的部分代表，通过他们真情的讲述，感受工作中的酸甜苦辣，理解“生态环保铁军”光环背后所展现的担当。戳链接阅读全文。O身边的榜样|福州市生态环保铁军炼成记（一）,,,,,1,2,1,2019-08-14 09:12,360安全浏览器,['http://ww4.sinaimg.cn/large/9d1a7da3gy1g5yxqt5e2fj20fl08xjvw.jpg'],,
4404751573292278,I1ZBPdOtg,1740952902,厦门晚报,#中央生态环境保护督察进行时#【中央第二生态环保督察组向我省交办第二十七批群众信访举报件127件】8月12日，中央第二生态环境保护督察组向我省交办第二十七批群众信访举报件127件。其中来电举报52件，来信举报75件。从区域分布上看，福州16件、厦门17件、漳州16件、泉州28件、三明8件、莆田10件、南平13件、龙岩8件、宁德11件、平潭0件。O网页链接,,,,中央生态环境保护督察进行时,0,0,0,2019-08-13 09:01,搜狗高速浏览器,['http://ww3.sinaimg.cn/large/67c4d546gy1g5xruay90xj20dw05nmy5.jpg'],,
4404545390620311,I1Ufh2Bn1,2635759011,福州生态环境,【福州生态环保“大考”，请阅卷！】上月中旬，福州市迎来了一场生态环保“大考”，截至11日，福州市已办结中央第二生态环境保护督察组交办的群众信访举报件620件，各级各部门是如何通过“加减乘除”，赢得群众的最佳“批注”，戳链接了解一下。O福州生态环保“大考”，请阅卷！,,,,,0,0,1,2019-08-12 19:21,360安全浏览器,,,
4404395686824716,I1QlOsDq4,5040767720,福州广播电视台,【福州市已办结620件中央第二生态环境保护督察组交办的群众信访举报件】“没了尘土飞扬，身心舒畅”“晚上安静了，家人睡眠质量提高不少”……上月中旬，福州市迎来了一场生态环保“大考”，群众的获得感成为最佳“批注”。截至11日，福州市已办结中央第二生态环境保护督察组交办的群众信访举报件620件。详情戳→O网页链接,,,,,0,0,0,2019-08-12 09:27,微博 weibo.com,['http://ww3.sinaimg.cn/large/005v8xXagy1g5wmyu8tizj30gj0nxtcs.jpg'],,
4404216506584119,I1LGOrCPt,1895697240,福州日报,福州新闻【生态环保督察组向福建交办第二十六批群众信访举报件】今天，中央第二生态环境保护督察组向福建交办第二十六批群众信访举报件141件。其中来电举报55件，来信举报86件。从区域分布上看，福州30件、厦门14件、漳州25件、泉州28件、三明7件、莆田12件、南平7件、龙岩9件、宁德9件、平潭0件。,,,,,1,0,3,2019-08-11 21:35,微博 weibo.com,['http://ww3.sinaimg.cn/large/70fe0b58ly1g5vz6axylbj20gg07i3zl.jpg'],,
4401989905329466,I0PLwmmr8,5134043072,直通屏山,#中央生态环境保护督察#【福州生态环保督察分检查组赴挂钩区县督导抽查】昨日上午，由市农业农村局带队的第13检查组抵达闽侯县洋里乡长基村后，直奔中央第二生态环境保护督察组转办的信访件中涉及的长盛农业有限公司下游排水口，查看该处水质，了解整改情况。O福州生态环保督察分检查组赴挂钩区县督导抽查,,,,中央生态环境保护督察,0,0,1,2019-08-05 18:07,专业版微博,,,
4401611394633733,I0FV1jrrD,2553604372,福州新闻网fznews,【响应群众诉求　闽侯县上街镇积极整治河道淤塞】日前，闽侯县上街镇接到一件生态环保督察转办件。接到群众诉求后，上街镇政府随即组织相关部门到现场核实，并联系施工单位第一时间启动清淤整治。@闽侯发布O响应群众诉求　闽侯县上街镇积极整治河道淤塞,,,闽侯发布,,0,0,0,2019-08-04 17:03,360安全浏览器,,,
4401508391202501,I0DeT52Pb,2635759011,福州生态环境,【福州市党政领导挂钩督办，破解生态环保难题】为深入贯彻落实习近平生态文明思想，建设生态文明的美丽福州，结合“不忘初心、牢记使命”主题教育，全力抓好中央生态环境保护督察反馈问题及信访件整改，福州市建立市级党政领导挂钩督办中央生态环境保护督察重点信访件和突出生态环境问题机制。。。O福州市党政领导挂钩督办，破解生态环保难题,,,,,0,0,0,2019-08-04 10:13,专业版微博,,,
4401169448919250,I0uqcBqiS,2553604372,福州新闻网fznews,【福州生态环保督察分检查组赴挂钩区县督导抽查】2日上午，由市农业农村局带队的第13检查组抵达闽侯县洋里乡长基村后，直奔中央第二生态环境保护督察组转办的信访件中涉及的长盛农业有限公司下游排水口，查看该处水质，了解整改情况。O福州生态环保督察分检查组赴挂钩区县督导抽查,,,,,0,0,0,2019-08-03 11:47,360安全浏览器,,,
4401168459171923,I0uoBCu2f,5395667635,厦门广电,#中央生态环境保护督察进行时#【福州生态环保督察分检查组赴挂钩区县督导抽查】昨日（2日）上午，由市农业农村局带队的第13检查组抵达闽侯县洋里乡长基村后，直奔中央第二生态环境保护督察组转办的信访件中涉及的长盛农业有限公司下游排水口，查看该处水质，了解整改情况。via福州新闻网详情：O福州生态环保督察分检查组赴挂钩区县督导抽查,,,,中央生态环境保护督察进行时,0,0,0,2019-08-03 11:43,微博 weibo.com,,,
4400031660436367,I00P41Pwb,3189210427,湄洲日报,#中央生态环境保护督察进行时#【中央第二生态环保督察组向福建省交办第十四批群众信访举报件136件】　　7月30日，中央第二生态环境保护督察组向我省交办第十四批群众信访举报件136件。其中来电举报62件，来信举报74件。从信访举报件生态环境问题类型来看，涉及水53个、大气63个、噪声32个、土壤16个、自然生态23个、海洋1个、其他类型26个（部分举报件涉及多个举报事项、涉及多个问题类型）。从区域分布上看，福州32件、厦门16件、漳州17件、泉州31件、三明7件、莆田6件、南平4件、龙岩11件、宁德10件、平潭2件。截至当日，我省已累计收到中央第二生态环境保护督察组交办的信访举报件2020件，所有举报件均已及时转交相关地市处理。（记者潘园园）,,,,中央生态环境保护督察进行时,0,0,0,2019-07-31 08:25,360安全浏览器,,,
4399642513291636,HFO9JdOiU,2568031104,闽姐姐,#闽姐姐播报#福建分享新福建:「中央第二生态环保督察组向我省交办第十三批群众信访举报件185件」福州同城#改革·她力量#O网页链接,,,,"闽姐姐播报,改革·她力量",0,0,1,2019-07-30 06:39,新福建,['http://ww3.sinaimg.cn/large/99110b80gy1g5hh2fj5lpj20sc0ivdis.jpg'],,
